MergeEnoughVotes(1)	20916	0.7000
MajorityVoteWithNN(0.5)	20916	0.9000
MajorityVote	20916	0.5000
MergeEnoughVotes(1)	20424	0.3000
MajorityVoteWithNN(0.5)	20424	NA
MajorityVote	20424	0.5000
MergeEnoughVotes(1)	20972	0.7333
MajorityVoteWithNN(0.5)	20972	0.6000
MajorityVote	20972	0.5333
MergeEnoughVotes(1)	20832	0.6000
MajorityVoteWithNN(0.5)	20832	0.9000
MajorityVote	20832	0.8000
MergeEnoughVotes(1)	20976	0.7000
MajorityVoteWithNN(0.5)	20976	0.5000
MajorityVote	20976	0.6000
MergeEnoughVotes(1)	20694	0.8000
MajorityVoteWithNN(0.5)	20694	0.9000
MajorityVote	20694	0.6500
MergeEnoughVotes(1)	20812	0.8667
MajorityVoteWithNN(0.5)	20812	0.6000
MajorityVote	20812	0.6667
MergeEnoughVotes(1)	20962	0.8000
MajorityVoteWithNN(0.5)	20962	0.7000
MajorityVote	20962	0.7000
MergeEnoughVotes(1)	20704	0.9000
MajorityVoteWithNN(0.5)	20704	0.7000
MajorityVote	20704	0.9000
MergeEnoughVotes(1)	20814	1.0000
MajorityVoteWithNN(0.5)	20814	0.7000
MajorityVote	20814	0.7000
MergeEnoughVotes(1)	20778	0.7000
MajorityVoteWithNN(0.5)	20778	0.7000
MajorityVote	20778	0.6000
MergeEnoughVotes(1)	20958	0.5000
MajorityVoteWithNN(0.5)	20958	0.8000
MajorityVote	20958	0.7000
MergeEnoughVotes(1)	20636	0.7000
MajorityVoteWithNN(0.5)	20636	0.7000
MajorityVote	20636	0.7000
MergeEnoughVotes(1)	20690	0.6800
MajorityVoteWithNN(0.5)	20690	0.6800
MajorityVote	20690	0.8400
MergeEnoughVotes(1)	20542	0.6667
MajorityVoteWithNN(0.5)	20542	0.3333
MajorityVote	20542	0.7333
MergeEnoughVotes(1)	20956	0.7000
MajorityVoteWithNN(0.5)	20956	0.5000
MajorityVote	20956	0.7000
MergeEnoughVotes(1)	20696	0.3000
MajorityVoteWithNN(0.5)	20696	NA
MajorityVote	20696	NA
MergeEnoughVotes(1)	20714	0.8000
MajorityVoteWithNN(0.5)	20714	NA
MajorityVote	20714	NA
MergeEnoughVotes(1)	20488	0.8000
MajorityVoteWithNN(0.5)	20488	0.9000
MajorityVote	20488	0.9000
MergeEnoughVotes(1)	20932	0.2667
MajorityVoteWithNN(0.5)	20932	0.6000
MajorityVote	20932	0.4667
MergeEnoughVotes(1)	20910	0.7333
MajorityVoteWithNN(0.5)	20910	0.7333
MajorityVote	20910	0.4667
MergeEnoughVotes(1)	20922	NA
MajorityVoteWithNN(0.5)	20922	NA
MajorityVote	20922	NA
MergeEnoughVotes(1)	20686	0.8667
MajorityVoteWithNN(0.5)	20686	0.4667
MajorityVote	20686	0.5333
MergeEnoughVotes(1)	20764	0.6000
MajorityVoteWithNN(0.5)	20764	0.6000
MajorityVote	20764	0.7000
MergeEnoughVotes(1)	20766	0.8000
MajorityVoteWithNN(0.5)	20766	0.7000
MajorityVote	20766	0.8000
MergeEnoughVotes(1)	20642	0.6667
MajorityVoteWithNN(0.5)	20642	0.6000
MajorityVote	20642	0.8000
MergeEnoughVotes(1)	20644	NA
MajorityVoteWithNN(0.5)	20644	NA
MajorityVote	20644	NA
MergeEnoughVotes(1)	20780	0.9333
MajorityVoteWithNN(0.5)	20780	0.7333
MajorityVote	20780	0.8667
MergeEnoughVotes(1)	20996	0.4000
MajorityVoteWithNN(0.5)	20996	0.8000
MajorityVote	20996	0.6000
MergeEnoughVotes(1)	20584	0.7714
MajorityVoteWithNN(0.5)	20584	0.7714
MajorityVote	20584	0.6857
MergeEnoughVotes(1)	20764	0.4000
MajorityVoteWithNN(0.5)	20764	0.7000
MajorityVote	20764	0.9000
MergeEnoughVotes(1)	20778	0.8000
MajorityVoteWithNN(0.5)	20778	0.8000
MajorityVote	20778	0.7000
MergeEnoughVotes(1)	20766	1.0000
MajorityVoteWithNN(0.5)	20766	0.9000
MajorityVote	20766	0.8000
MergeEnoughVotes(1)	20962	0.6000
MajorityVoteWithNN(0.5)	20962	0.6000
MajorityVote	20962	0.6000
MergeEnoughVotes(1)	20832	0.5000
MajorityVoteWithNN(0.5)	20832	0.5000
MajorityVote	20832	0.8000
MergeEnoughVotes(1)	20642	0.8000
MajorityVoteWithNN(0.5)	20642	0.9333
MajorityVote	20642	0.7333
MergeEnoughVotes(1)	20694	0.6000
MajorityVoteWithNN(0.5)	20694	0.7000
MajorityVote	20694	0.6500
MergeEnoughVotes(1)	20780	0.6667
MajorityVoteWithNN(0.5)	20780	0.7333
MajorityVote	20780	0.7333
MergeEnoughVotes(1)	20690	0.9600
MajorityVoteWithNN(0.5)	20690	0.6000
MajorityVote	20690	0.8400
MergeEnoughVotes(1)	20644	NA
MajorityVoteWithNN(0.5)	20644	NA
MajorityVote	20644	NA
MergeEnoughVotes(1)	20696	NA
MajorityVoteWithNN(0.5)	20696	NA
MajorityVote	20696	0.8000
MergeEnoughVotes(1)	20814	0.9000
MajorityVoteWithNN(0.5)	20814	0.7000
MajorityVote	20814	0.8000
MergeEnoughVotes(1)	20812	0.7333
MajorityVoteWithNN(0.5)	20812	0.6000
MajorityVote	20812	0.4000
MergeEnoughVotes(1)	20832	0.6000
MajorityVoteWithNN(0.5)	20832	0.8000
MajorityVote	20832	0.9000
MergeEnoughVotes(1)	20922	NA
MajorityVoteWithNN(0.5)	20922	NA
MajorityVote	20922	NA
MergeEnoughVotes(1)	20704	0.7000
MajorityVoteWithNN(0.5)	20704	NA
MajorityVote	20704	0.8000
MergeEnoughVotes(1)	20962	0.6000
MajorityVoteWithNN(0.5)	20962	0.4000
MajorityVote	20962	0.6000
MergeEnoughVotes(1)	20690	0.6800
MajorityVoteWithNN(0.5)	20690	0.6800
MajorityVote	20690	0.7200
MergeEnoughVotes(1)	20778	0.7000
MajorityVoteWithNN(0.5)	20778	0.6000
MajorityVote	20778	0.7000
MergeEnoughVotes(1)	20694	0.7500
MajorityVoteWithNN(0.5)	20694	0.8000
MajorityVote	20694	0.8500
MergeEnoughVotes(1)	20488	0.7000
MajorityVoteWithNN(0.5)	20488	0.9000
MajorityVote	20488	0.8000
MergeEnoughVotes(1)	20542	0.8667
MajorityVoteWithNN(0.5)	20542	0.7333
MajorityVote	20542	0.7333
MergeEnoughVotes(1)	20814	0.8000
MajorityVoteWithNN(0.5)	20814	0.9000
MajorityVote	20814	0.9000
MergeEnoughVotes(1)	20972	0.7333
MajorityVoteWithNN(0.5)	20972	0.8000
MajorityVote	20972	0.8667
MergeEnoughVotes(1)	20916	NA
MajorityVoteWithNN(0.5)	20916	NA
MajorityVote	20916	0.6000
MergeEnoughVotes(1)	20686	0.7333
MajorityVoteWithNN(0.5)	20686	0.6000
MajorityVote	20686	0.3333
MergeEnoughVotes(1)	20424	NA
MajorityVoteWithNN(0.5)	20424	0.5000
MajorityVote	20424	0.4000
MergeEnoughVotes(1)	20488	0.5000
MajorityVoteWithNN(0.5)	20488	0.9000
MajorityVote	20488	0.7000
MergeEnoughVotes(1)	20542	0.7333
MajorityVoteWithNN(0.5)	20542	0.6667
MajorityVote	20542	0.8000
MergeEnoughVotes(1)	20932	0.6667
MajorityVoteWithNN(0.5)	20932	0.4667
MajorityVote	20932	0.4000
MergeEnoughVotes(1)	20996	0.7000
MajorityVoteWithNN(0.5)	20996	0.3000
MajorityVote	20996	0.5000
MergeEnoughVotes(1)	20584	0.6857
MajorityVoteWithNN(0.5)	20584	0.6857
MajorityVote	20584	0.7429
MergeEnoughVotes(1)	20976	0.6000
MajorityVoteWithNN(0.5)	20976	0.7000
MajorityVote	20976	0.8000
MergeEnoughVotes(1)	20958	0.6000
MajorityVoteWithNN(0.5)	20958	0.6000
MajorityVote	20958	0.7000
MergeEnoughVotes(1)	20910	0.6000
MajorityVoteWithNN(0.5)	20910	0.7333
MajorityVote	20910	0.7333
MergeEnoughVotes(1)	20636	0.6000
MajorityVoteWithNN(0.5)	20636	0.7000
MajorityVote	20636	0.5000
MergeEnoughVotes(1)	20714	NA
MajorityVoteWithNN(0.5)	20714	NA
MajorityVote	20714	NA
MergeEnoughVotes(1)	20780	0.5333
MajorityVoteWithNN(0.5)	20780	0.7333
MajorityVote	20780	0.6667
MergeEnoughVotes(1)	20488	0.5000
MajorityVoteWithNN(0.5)	20488	1.0000
